293,Pirates of the Caribbean: At World's End,2007,1,169,0,"Action, Adventure, Fantasy",Gore Verbinski
294,Pirates of the Caribbean: On Stranger Tides,2011,1,136,0,"Action, Adventure, Fantasy",Rob Marshall
295,Krotki film o zabijaniu,1988,0,84,0,"Crime, Drama",Krzysztof Kieslowski
296,Casablanca,1942,0,102,0,"Drama, Romance, War",Michael Curtiz
297,Przesluchanie,1982,0,118,0,"Crime, Drama, Thriller",Ryszard Bugajski
298,Per qualche dollaro in piu,1965,0,132,0,Western,Sergio Leone
299,The Reader,2008,0,124,0,"Drama, Romance",Stephen Daldry
300,The Boondock Saints,1999,0,108,0,"Action, Crime, Thriller",Troy Duffy
301,Citizen Kane,1941,0,119,0,"Drama, Mystery",Orson Welles
302,Fracture,2007,0,113,0,"Crime, Drama, Mystery",Gregory Hoblit
303,Night on Earth,1991,0,129,0,"Comedy, Drama",Jim Jarmusch
304,Dr. Stragelove or: How I learned to Stop Worrying and Love the Bomb,1964,0,95,0,Comedy,Stanley Kubrick
305,So weit die Fusse tragen,2001,0,158,0,"Action, Adventure, Drama",Hardy Martins
306,Adams aebler,2005,0,94,0,"Comedy, Crime, Drama",Anders Thomas Jensen
307,American Beauty,1999,0,122,0,Drama,Sam Mendes
308,My Sister's Keeper,2009,0,109,0,Drama,Nick Cassavetes
310,Men of Honor,2000,0,129,0,"Biography, Drama",George Tillman Jr.
311,Pay It Forward,2000,0,123,0,Drama,Mimi Leder
312,Detachment,2011,0,98,0,Drama,Tony Kaye
313,The Machinist,2004,0,101,0,"Drama, Thriller",Brad Anderson
314,The Fighter,2010,0,116,0,"Biography, Drama, Sport",David O. Russell
315,The Last King of Scotland,2006,0,123,0,"Biography, Drama, History",Kevin Macdonald
316,Murder in the First,1995,0,122,0,"Drama, Thriller",Marc Rocco
317,Ondskan,2003,0,113,0,Drama,Mikael H\xc3\xa5fstr\xc3\xb6m
318,Enter the Dragon,1973,0,102,0,"Action, Crime, Drama",Robert Clouse
